,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
0,2023-12-01 00:00:00,9.1,,,,,,1,26,93,111
1,2023-12-01 01:00:00,9.8,,,,,,1,25,96,117
2,2023-12-01 02:00:00,12.4,,,,,,1,25,97,114
3,2023-12-01 03:00:00,11.6,,,,,,0,25,96,107
4,2023-12-01 04:00:00,9.6,,,,,,0,25,99,116
5,2023-12-01 05:00:00,10.8,,,,,,0,25,99,109
6,2023-12-01 06:00:00,10.8,,,,,,0,25,99,104
7,2023-12-01 07:00:00,11.0,,,,,,0,25,99,106
8,2023-12-01 08:00:00,15.4,,,,,,0,26,93,112
9,2023-12-01 09:00:00,15.0,,,,,,1,28,82,158
10,2023-12-01 10:00:00,10.5,,,,,,1,28,82,135
11,2023-12-01 11:00:00,8.9,,,,,,1,28,81,127
12,2023-12-01 12:00:00,6.6,,,,,,1,28,81,150
13,2023-12-01 13:00:00,6.2,,,,,,1,29,74,205
14,2023-12-01 14:00:00,10.7,,,,,,1,29,76,146
15,2023-12-01 15:00:00,12.2,,,,,,1,29,76,130
16,2023-12-01 16:00:00,13.7,,,,,,1,29,77,165
17,2023-12-01 17:00:00,10.9,,,,,,1,29,76,187
18,2023-12-01 18:00:00,12.0,,,,,,1,28,77,163
19,2023-12-01 19:00:00,13.2,,,,,,1,28,79,169
20,2023-12-01 20:00:00,16.6,,,,,,1,28,80,153
21,2023-12-01 21:00:00,13.8,,,,,,1,27,81,139
22,2023-12-01 22:00:00,15.0,,,,,,1,28,82,123
23,2023-12-01 23:00:00,10.9,,,,,,2,25,91,66
24,2023-12-02 00:00:00,7.1,,,,,,1,24,89,88
25,2023-12-02 01:00:00,5.3,,,,,,0,24,94,110
26,2023-12-02 02:00:00,9.4,,,,,,0,24,97,109
27,2023-12-02 03:00:00,7.5,,,,,,0,24,98,108
28,2023-12-02 04:00:00,6.2,,,,,,0,24,98,110
29,2023-12-02 05:00:00,7.4,,,,,,0,23,98,111
30,2023-12-02 06:00:00,10.7,,,,,,0,24,98,113
31,2023-12-02 07:00:00,8.4,,,,,,0,24,96,110
32,2023-12-02 08:00:00,13.7,,,,,,0,25,93,111
33,2023-12-02 09:00:00,16.9,,,,,,1,27,85,117
34,2023-12-02 10:00:00,13.8,,,,,,0,28,78,100
35,2023-12-02 11:00:00,11.9,,,,,,1,28,78,81
36,2023-12-02 12:00:00,11.8,,,,,,1,27,82,123
37,2023-12-02 13:00:00,9.7,,,,,,1,28,79,118
38,2023-12-02 14:00:00,11.5,,,,,,2,27,88,135
39,2023-12-02 15:00:00,14.2,,,,,,0,25,90,135
40,2023-12-02 16:00:00,13.3,,,,,,1,26,89,182
41,2023-12-02 17:00:00,14.2,,,,,,0,25,95,129
42,2023-12-02 18:00:00,11.4,,,,,,0,24,96,107
43,2023-12-02 19:00:00,12.7,,,,,,0,24,97,103
44,2023-12-02 20:00:00,17.3,,,,,,0,25,96,108
45,2023-12-02 21:00:00,14.1,,,,,,0,25,93,94
46,2023-12-02 22:00:00,10.3,,,,,,0,25,96,99
47,2023-12-02 23:00:00,14.7,,,,,,0,25,93,97
48,2023-12-03 00:00:00,13.8,,,,,,0,25,95,113
49,2023-12-03 01:00:00,15.5,,,,,,0,25,98,101
50,2023-12-03 02:00:00,13.0,,,,,,0,25,98,97
51,2023-12-03 03:00:00,11.6,,,,,,0,25,98,102
52,2023-12-03 04:00:00,12.4,,,,,,0,24,99,110
53,2023-12-03 05:00:00,14.9,,,,,,0,24,99,113
54,2023-12-03 06:00:00,12.0,,,,,,0,24,99,106
55,2023-12-03 07:00:00,9.4,,,,,,0,25,99,107
56,2023-12-03 08:00:00,12.6,,,,,,0,26,93,115
57,2023-12-03 09:00:00,10.5,,,,,,0,28,82,109
58,2023-12-03 10:00:00,9.6,,,,,,1,30,70,128
59,2023-12-03 11:00:00,8.6,,,,,,1,30,71,134
60,2023-12-03 12:00:00,5.6,,,,,,1,31,65,135
61,2023-12-03 13:00:00,8.5,,,,,,1,30,74,138
62,2023-12-03 14:00:00,7.5,,,,,,1,29,79,151
63,2023-12-03 15:00:00,5.3,,,,,,1,29,72,167
64,2023-12-03 16:00:00,6.6,,,,,,1,28,73,125
65,2023-12-03 17:00:00,6.9,,,,,,1,28,75,129
66,2023-12-03 18:00:00,8.1,,,,,,1,27,81,116
67,2023-12-03 19:00:00,9.3,,,,,,1,27,81,108
68,2023-12-03 20:00:00,7.0,,,,,,0,27,84,96
69,2023-12-03 21:00:00,9.2,,,,,,0,27,85,96
70,2023-12-03 22:00:00,9.8,,,,,,0,27,85,101
71,2023-12-03 23:00:00,7.3,,,,,,0,26,92,107
72,2023-12-04 00:00:00,12.1,,,,,,1,25,95,114
73,2023-12-04 01:00:00,10.6,,,,,,0,25,95,106
74,2023-12-04 02:00:00,7.4,,,,,,0,25,97,106
75,2023-12-04 03:00:00,6.5,,,,,,0,25,98,108
76,2023-12-04 04:00:00,4.6,,,,,,0,25,98,112
77,2023-12-04 05:00:00,8.5,,,,,,0,25,99,107
78,2023-12-04 06:00:00,10.1,,,,,,0,24,99,109
79,2023-12-04 07:00:00,12.9,,,,,,0,25,97,111
80,2023-12-04 08:00:00,13.5,,,,,,1,28,82,113
81,2023-12-04 09:00:00,11.3,,,,,,1,30,70,122
82,2023-12-04 10:00:00,9.6,,,,,,1,31,61,130
83,2023-12-04 11:00:00,7.3,,,,,,1,32,58,143
84,2023-12-04 12:00:00,6.5,,,,,,1,33,57,146
